TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20180703,2018,7,3,27,3
20180704,2018,7,4,27,3
20180705,2018,7,5,27,3
20180706,2018,7,6,27,3
20180707,2018,7,7,27,3
20180708,2018,7,8,27,3
20180709,2018,7,9,28,3
20180710,2018,7,10,28,3
20180711,2018,7,11,28,3
20180712,2018,7,12,28,3
20180713,2018,7,13,28,3
20180714,2018,7,14,28,3
20180715,2018,7,15,28,3
20180716,2018,7,16,29,3
20180717,2018,7,17,29,3
20180718,2018,7,18,29,3
20180719,2018,7,19,29,3
20180720,2018,7,20,29,3
20180721,2018,7,21,29,3
20180722,2018,7,22,29,3
20180723,2018,7,23,30,3
20180724,2018,7,24,30,3
20180725,2018,7,25,30,3
20180726,2018,7,26,30,3
20180727,2018,7,27,30,3
20180728,2018,7,28,30,3
20180729,2018,7,29,30,3
20180730,2018,7,30,31,3
20180731,2018,7,31,31,3
20180801,2018,8,1,31,3
20180802,2018,8,2,31,3
20180803,2018,8,3,31,3
20180804,2018,8,4,31,3
20180805,2018,8,5,31,3
20180806,2018,8,6,32,3
20180807,2018,8,7,32,3
20180808,2018,8,8,32,3
20180809,2018,8,9,32,3
20180810,2018,8,10,32,3
20180811,2018,8,11,32,3
20180812,2018,8,12,32,3
20180813,2018,8,13,33,3
20180814,2018,8,14,33,3
20180815,2018,8,15,33,3
20180816,2018,8,16,33,3
20180817,2018,8,17,33,3
20180818,2018,8,18,33,3
20180819,2018,8,19,33,3
20180820,2018,8,20,34,3
20180821,2018,8,21,34,3
20180822,2018,8,22,34,3
20180823,2018,8,23,34,3
20180824,2018,8,24,34,3
20180825,2018,8,25,34,3
20180826,2018,8,26,34,3
20180827,2018,8,27,35,3
20180828,2018,8,28,35,3
20180829,2018,8,29,35,3
20180830,2018,8,30,35,3
20180831,2018,8,31,35,3
20180901,2018,9,1,35,3
20180902,2018,9,2,35,3
20180903,2018,9,3,36,3
20180904,2018,9,4,36,3
20180905,2018,9,5,36,3
20180906,2018,9,6,36,3
20180907,2018,9,7,36,3
